"date","outbreak_group","outbreak_subgroup","number_ongoing_outbreaks"
2020-12-11,"Congregate Living","Correctional Facility",4
2020-12-11,"Congregate Living","Group Home/Supportive Housing",44
2020-12-11,"Congregate Living","Shelter",7
2020-12-11,"Congregate Living","Short-term accommodations",2
2020-12-11,"Education","Child care",58
2020-12-11,"Education","Elementary School",98
2020-12-11,"Education","Elementary/Secondary School",8
2020-12-11,"Education","Post-Secondary School",3
2020-12-11,"Education","Secondary School",31
2020-12-11,"Other/Unknown","Other",13
2020-12-11,"Other/Unknown","Unknown",5
2020-12-11,"Recreational","Bar/restaurant/nightclub",22
2020-12-11,"Recreational","Other recreation",20
2020-12-11,"Recreational","Personal service settings",2
2020-12-11,"Recreational","Recreational fitness",10
2020-12-11,"Workplace","Medical/Health Service",12
2020-12-11,"Workplace","Retail",35
2020-12-11,"Workplace","Farm",6
2020-12-11,"Workplace","Food Processing",25
2020-12-11,"Workplace","Workplace (Other)",166
2020-12-12,"Congregate Care","Hospitals",41
2020-12-12,"Congregate Care","Long-Term Care Homes",142
2020-12-12,"Congregate Care","Retirement Homes",81
2020-12-12,"Congregate Living","Congregate other",23
2020-12-12,"Congregate Living","Correctional Facility",5
2020-12-12,"Congregate Living","Group Home/Supportive Housing",48
2020-12-12,"Congregate Living","Shelter",7
2020-12-12,"Congregate Living","Short-term accommodations",2
2020-12-12,"Education","Child care",56
2020-12-12,"Education","Elementary School",97
2020-12-12,"Education","Elementary/Secondary School",7
2020-12-12,"Education","Post-Secondary School",5
2020-12-12,"Education","Secondary School",34
2020-12-12,"Other/Unknown","Other",17
2020-12-12,"Other/Unknown","Unknown",4
2020-12-12,"Recreational","Bar/restaurant/nightclub",22
2020-12-12,"Recreational","Other recreation",19
2020-12-12,"Recreational","Personal service settings",3
2020-12-12,"Recreational","Recreational fitness",10
2020-12-12,"Workplace","Medical/Health Service",12
2020-12-12,"Workplace","Retail",30
2020-12-12,"Workplace","Farm",6
2020-12-12,"Workplace","Food Processing",21
2020-12-12,"Workplace","Workplace (Other)",169
2020-12-13,"Congregate Care","Hospitals",43
2020-12-13,"Congregate Care","Long-Term Care Homes",147
2020-12-13,"Congregate Care","Retirement Homes",82
2020-12-13,"Congregate Living","Congregate other",23
2020-12-13,"Congregate Living","Correctional Facility",5
2020-12-13,"Congregate Living","Group Home/Supportive Housing",49
2020-12-13,"Congregate Living","Shelter",7
2020-12-13,"Congregate Living","Short-term accommodations",2
2020-12-13,"Education","Child care",56
2020-12-13,"Education","Elementary School",97
2020-12-13,"Education","Elementary/Secondary School",6
2020-12-13,"Education","Post-Secondary School",5
2020-12-13,"Education","Secondary School",34
2020-12-13,"Other/Unknown","Other",19
2020-12-13,"Other/Unknown","Unknown",4
2020-12-13,"Recreational","Bar/restaurant/nightclub",22
2020-12-13,"Recreational","Other recreation",20
2020-12-13,"Recreational","Personal service settings",3
2020-12-13,"Recreational","Recreational fitness",10
2020-12-13,"Workplace","Medical/Health Service",12
2020-12-13,"Workplace","Retail",31
2020-12-13,"Workplace","Farm",7
2020-12-13,"Workplace","Food Processing",22
2020-12-13,"Workplace","Workplace (Other)",164
2020-12-14,"Congregate Care","Hospitals",42
2020-12-14,"Congregate Care","Long-Term Care Homes",150
2020-12-14,"Congregate Care","Retirement Homes",84
2020-12-14,"Congregate Living","Congregate other",21
2020-12-14,"Congregate Living","Correctional Facility",5
2020-12-14,"Congregate Living","Group Home/Supportive Housing",52
2020-12-14,"Congregate Living","Shelter",7
2020-12-14,"Congregate Living","Short-term accommodations",2
2020-12-14,"Education","Child care",54
2020-12-14,"Education","Elementary School",91
2020-12-14,"Education","Elementary/Secondary School",6
2020-12-14,"Education","Post-Secondary School",4
2020-12-14,"Education","Secondary School",34
2020-12-14,"Other/Unknown","Other",20
2020-12-14,"Other/Unknown","Unknown",4
2020-12-14,"Recreational","Bar/restaurant/nightclub",23
2020-12-14,"Recreational","Other recreation",19
2020-12-14,"Recreational","Personal service settings",3
2020-12-14,"Recreational","Recreational fitness",10
2020-12-14,"Workplace","Medical/Health Service",9
2020-12-14,"Workplace","Retail",30
2020-12-14,"Workplace","Farm",7
2020-12-14,"Workplace","Food Processing",21
2020-12-14,"Workplace","Workplace (Other)",164
2020-12-15,"Congregate Care","Hospitals",42
2020-12-15,"Congregate Care","Long-Term Care Homes",139
2020-12-15,"Congregate Care","Retirement Homes",79
2020-12-15,"Congregate Living","Congregate other",20
2020-12-15,"Congregate Living","Correctional Facility",5
2020-12-15,"Congregate Living","Group Home/Supportive Housing",44
2020-12-15,"Congregate Living","Shelter",5
2020-12-15,"Education","Child care",51
2020-12-15,"Education","Elementary School",92
2020-12-15,"Education","Elementary/Secondary School",5
2020-12-15,"Education","Post-Secondary School",4
2020-12-15,"Education","Secondary School",34
2020-12-15,"Other/Unknown","Other",22
2020-12-15,"Other/Unknown","Unknown",2
2020-12-15,"Recreational","Bar/restaurant/nightclub",21
2020-12-15,"Recreational","Other recreation",19
2020-12-15,"Recreational","Personal service settings",3
2020-12-15,"Recreational","Recreational fitness",10
2020-12-15,"Workplace","Medical/Health Service",9
2020-12-15,"Workplace","Retail",29
2020-12-15,"Workplace","Farm",6
2020-12-15,"Workplace","Food Processing",20
2020-12-15,"Workplace","Workplace (Other)",156
2020-12-16,"Congregate Care","Hospitals",44
2020-12-16,"Congregate Care","Long-Term Care Homes",143
2020-12-16,"Congregate Care","Retirement Homes",84
2020-12-16,"Congregate Living","Congregate other",21
2020-12-16,"Congregate Living","Correctional Facility",7
2020-12-16,"Congregate Living","Group Home/Supportive Housing",49
2020-12-16,"Congregate Living","Shelter",5
2020-12-16,"Education","Child care",52
2020-12-16,"Education","Elementary School",95
2020-12-16,"Education","Elementary/Secondary School",5
2020-12-16,"Education","Post-Secondary School",4
2020-12-16,"Education","Secondary School",34
2020-12-16,"Other/Unknown","Other",14
2020-12-16,"Other/Unknown","Unknown",1
2020-12-16,"Recreational","Bar/restaurant/nightclub",20
2020-12-16,"Recreational","Other recreation",20
2020-12-16,"Recreational","Personal service settings",3
2020-12-16,"Recreational","Recreational fitness",11
2020-12-16,"Workplace","Medical/Health Service",9
2020-12-16,"Workplace","Retail",31
2020-12-16,"Workplace","Farm",9
2020-12-16,"Workplace","Food Processing",31
2020-12-16,"Workplace","Workplace (Other)",162
2020-12-17,"Congregate Care","Hospitals",42
2020-12-17,"Congregate Care","Long-Term Care Homes",143
2020-12-17,"Congregate Care","Retirement Homes",86
2020-12-17,"Congregate Living","Congregate other",23
2020-12-17,"Congregate Living","Correctional Facility",7
2020-12-17,"Congregate Living","Group Home/Supportive Housing",48
2020-12-17,"Congregate Living","Shelter",6
2020-12-17,"Education","Child care",51
2020-12-17,"Education","Elementary School",96
2020-12-17,"Education","Elementary/Secondary School",5
2020-12-17,"Education","Post-Secondary School",4
2020-12-17,"Education","Secondary School",33
2020-12-17,"Other/Unknown","Other",19
2020-12-17,"Other/Unknown","Unknown",1
2020-12-17,"Recreational","Bar/restaurant/nightclub",19
2020-12-17,"Recreational","Other recreation",20
2020-12-17,"Recreational","Personal service settings",3
2020-12-17,"Recreational","Recreational fitness",11
2020-12-17,"Workplace","Medical/Health Service",9
2020-12-17,"Workplace","Retail",32
2020-12-17,"Workplace","Farm",9
2020-12-17,"Workplace","Food Processing",31
2020-12-17,"Workplace","Workplace (Other)",161
2020-12-18,"Congregate Care","Hospitals",47
2020-12-18,"Congregate Care","Long-Term Care Homes",150
2020-12-18,"Congregate Care","Retirement Homes",83
2020-12-18,"Congregate Living","Congregate other",18
2020-12-18,"Congregate Living","Correctional Facility",7
2020-12-18,"Congregate Living","Group Home/Supportive Housing",51
2020-12-18,"Congregate Living","Shelter",6
2020-12-18,"Education","Child care",50
2020-12-18,"Education","Elementary School",98
2020-12-18,"Education","Elementary/Secondary School",5
2020-12-18,"Education","Post-Secondary School",4
2020-12-18,"Education","Secondary School",33
2020-12-18,"Other/Unknown","Other",21
2020-12-18,"Other/Unknown","Unknown",6
2020-12-18,"Recreational","Bar/restaurant/nightclub",19
2020-12-18,"Recreational","Other recreation",20
2020-12-18,"Recreational","Personal service settings",3
2020-12-18,"Recreational","Recreational fitness",11
2020-12-18,"Workplace","Medical/Health Service",8
2020-12-18,"Workplace","Retail",32
2020-12-18,"Workplace","Farm",9
2020-12-18,"Workplace","Food Processing",31
2020-12-18,"Workplace","Workplace (Other)",166
2020-12-19,"Congregate Care","Hospitals",51
2020-12-19,"Congregate Care","Long-Term Care Homes",156
2020-12-19,"Congregate Care","Retirement Homes",86
2020-12-19,"Congregate Living","Congregate other",17
2020-12-19,"Congregate Living","Correctional Facility",8
2020-12-19,"Congregate Living","Group Home/Supportive Housing",51
2020-12-19,"Congregate Living","Shelter",6
2020-12-19,"Education","Child care",51
2020-12-19,"Education","Elementary School",97
2020-12-19,"Education","Elementary/Secondary School",4
2020-12-19,"Education","Post-Secondary School",5
2020-12-19,"Education","Secondary School",34
2020-12-19,"Other/Unknown","Other",28
2020-12-19,"Other/Unknown","Unknown",8
2020-12-19,"Recreational","Bar/restaurant/nightclub",16
2020-12-19,"Recreational","Other recreation",20
2020-12-19,"Recreational","Personal service settings",3
2020-12-19,"Recreational","Recreational fitness",11
2020-12-19,"Workplace","Medical/Health Service",8
2020-12-19,"Workplace","Retail",31
2020-12-19,"Workplace","Farm",9
2020-12-19,"Workplace","Food Processing",30
2020-12-19,"Workplace","Workplace (Other)",169
2020-12-20,"Congregate Care","Hospitals",52
2020-12-20,"Congregate Care","Long-Term Care Homes",162
2020-12-20,"Congregate Care","Retirement Homes",90
2020-12-20,"Congregate Living","Congregate other",17
2020-12-20,"Congregate Living","Correctional Facility",8
2020-12-20,"Congregate Living","Group Home/Supportive Housing",51
2020-12-20,"Congregate Living","Shelter",6
2020-12-20,"Education","Child care",48
2020-12-20,"Education","Elementary School",98
2020-12-20,"Education","Elementary/Secondary School",3
2020-12-20,"Education","Post-Secondary School",4
2020-12-20,"Education","Secondary School",35
2020-12-20,"Other/Unknown","Other",32
2020-12-20,"Other/Unknown","Unknown",9
2020-12-20,"Recreational","Bar/restaurant/nightclub",16
2020-12-20,"Recreational","Other recreation",20
2020-12-20,"Recreational","Personal service settings",3
2020-12-20,"Recreational","Recreational fitness",12
2020-12-20,"Workplace","Medical/Health Service",8
2020-12-20,"Workplace","Retail",31
2020-12-20,"Workplace","Farm",8
2020-12-20,"Workplace","Food Processing",28
2020-12-20,"Workplace","Workplace (Other)",165
2020-12-21,"Congregate Care","Hospitals",52
2020-12-21,"Congregate Care","Long-Term Care Homes",168
2020-12-21,"Congregate Care","Retirement Homes",94
2020-12-21,"Congregate Living","Congregate other",17
2020-12-21,"Congregate Living","Correctional Facility",8
2020-12-21,"Congregate Living","Group Home/Supportive Housing",49
2020-12-21,"Congregate Living","Shelter",6
2020-12-21,"Education","Child care",49
2020-12-21,"Education","Elementary School",96
2020-12-21,"Education","Elementary/Secondary School",3
2020-12-21,"Education","Post-Secondary School",4
2020-12-21,"Education","Secondary School",37
2020-12-21,"Other/Unknown","Other",34
2020-12-21,"Other/Unknown","Unknown",9
2020-12-21,"Recreational","Bar/restaurant/nightclub",16
2020-12-21,"Recreational","Other recreation",20
2020-12-21,"Recreational","Personal service settings",3
2020-12-21,"Recreational","Recreational fitness",11
2020-12-21,"Workplace","Medical/Health Service",8
2020-12-21,"Workplace","Retail",29
2020-12-21,"Workplace","Farm",8
2020-12-21,"Workplace","Food Processing",27
2020-12-21,"Workplace","Workplace (Other)",165
2020-12-22,"Congregate Care","Hospitals",53
2020-12-22,"Congregate Care","Long-Term Care Homes",173
2020-12-22,"Congregate Care","Retirement Homes",96
2020-12-22,"Congregate Living","Congregate other",19
2020-12-22,"Congregate Living","Correctional Facility",8
2020-12-22,"Congregate Living","Group Home/Supportive Housing",49
2020-12-22,"Congregate Living","Shelter",6
2020-12-22,"Education","Child care",48
2020-12-22,"Education","Elementary School",94
2020-12-22,"Education","Elementary/Secondary School",3
2020-12-22,"Education","Post-Secondary School",4
2020-12-22,"Education","Secondary School",38
2020-12-22,"Other/Unknown","Other",31
2020-12-22,"Other/Unknown","Unknown",6
2020-12-22,"Recreational","Bar/restaurant/nightclub",18
2020-12-22,"Recreational","Other recreation",22
2020-12-22,"Recreational","Personal service settings",3
2020-12-22,"Recreational","Recreational fitness",11
2020-12-22,"Workplace","Medical/Health Service",9
2020-12-22,"Workplace","Retail",30
2020-12-22,"Workplace","Farm",8
2020-12-22,"Workplace","Food Processing",26
2020-12-22,"Workplace","Workplace (Other)",165
2020-12-23,"Congregate Care","Hospitals",52
2020-12-23,"Congregate Care","Long-Term Care Homes",173
2020-12-23,"Congregate Care","Retirement Homes",101
2020-12-23,"Congregate Living","Congregate other",15
2020-12-23,"Congregate Living","Correctional Facility",8
2020-12-23,"Congregate Living","Group Home/Supportive Housing",48
2020-12-23,"Congregate Living","Shelter",8
2020-12-23,"Education","Child care",49
2020-12-23,"Education","Elementary School",97
2020-12-23,"Education","Elementary/Secondary School",3
2020-12-23,"Education","Post-Secondary School",4
2020-12-23,"Education","Secondary School",40
2020-12-23,"Other/Unknown","Other",9
2020-12-23,"Other/Unknown","Unknown",10
2020-12-23,"Recreational","Bar/restaurant/nightclub",17
2020-12-23,"Recreational","Other recreation",21
2020-12-23,"Recreational","Personal service settings",2
2020-12-23,"Recreational","Recreational fitness",11
2020-12-23,"Workplace","Medical/Health Service",10
2020-12-23,"Workplace","Retail",38
2020-12-23,"Workplace","Farm",10
2020-12-23,"Workplace","Food Processing",32
2020-12-23,"Workplace","Workplace (Other)",171
2020-12-24,"Congregate Care","Hospitals",52
2020-12-24,"Congregate Care","Long-Term Care Homes",173
2020-12-24,"Congregate Care","Retirement Homes",103
2020-12-24,"Congregate Living","Congregate other",15
2020-12-24,"Congregate Living","Correctional Facility",8
2020-12-24,"Congregate Living","Group Home/Supportive Housing",57
2020-12-24,"Congregate Living","Shelter",9
2020-12-24,"Education","Child care",51
2020-12-24,"Education","Elementary School",99
2020-12-24,"Education","Elementary/Secondary School",4
2020-12-24,"Education","Post-Secondary School",4
2020-12-24,"Education","Secondary School",39
2020-12-24,"Other/Unknown","Other",10
2020-12-24,"Other/Unknown","Unknown",7
2020-12-24,"Recreational","Bar/restaurant/nightclub",16
2020-12-24,"Recreational","Other recreation",24
2020-12-24,"Recreational","Personal service settings",2
2020-12-24,"Recreational","Recreational fitness",11
2020-12-24,"Workplace","Medical/Health Service",8
2020-12-24,"Workplace","Retail",39
2020-12-24,"Workplace","Farm",10
2020-12-24,"Workplace","Food Processing",30
2020-12-24,"Workplace","Workplace (Other)",166
2020-12-25,"Congregate Care","Hospitals",53
2020-12-25,"Congregate Care","Long-Term Care Homes",174
2020-12-25,"Congregate Care","Retirement Homes",103
2020-12-25,"Congregate Living","Congregate other",14
2020-12-25,"Congregate Living","Correctional Facility",8
2020-12-25,"Congregate Living","Group Home/Supportive Housing",57
2020-12-25,"Congregate Living","Shelter",9
2020-12-25,"Education","Child care",52
2020-12-25,"Education","Elementary School",96
2020-12-25,"Education","Elementary/Secondary School",5
2020-12-25,"Education","Post-Secondary School",4
2020-12-25,"Education","Secondary School",37
2020-12-25,"Other/Unknown","Other",12
2020-12-25,"Other/Unknown","Unknown",8
2020-12-25,"Recreational","Bar/restaurant/nightclub",16
2020-12-25,"Recreational","Other recreation",22
2020-12-25,"Recreational","Personal service settings",2
2020-12-25,"Recreational","Recreational fitness",10
2020-12-25,"Workplace","Medical/Health Service",9
2020-12-25,"Workplace","Retail",40
2020-12-25,"Workplace","Farm",10
2020-12-25,"Workplace","Food Processing",29
2020-12-25,"Workplace","Workplace (Other)",162
2020-12-26,"Congregate Care","Hospitals",53
2020-12-26,"Congregate Care","Long-Term Care Homes",181
2020-12-26,"Congregate Care","Retirement Homes",99
2020-12-26,"Congregate Living","Congregate other",15
2020-12-26,"Congregate Living","Correctional Facility",8
2020-12-26,"Congregate Living","Group Home/Supportive Housing",56
2020-12-26,"Congregate Living","Shelter",10
2020-12-26,"Education","Child care",53
2020-12-26,"Education","Elementary School",98
2020-12-26,"Education","Elementary/Secondary School",5
2020-12-26,"Education","Post-Secondary School",5
2020-12-26,"Education","Secondary School",38
2020-12-26,"Other/Unknown","Other",13
2020-12-26,"Other/Unknown","Unknown",9
2020-12-26,"Recreational","Bar/restaurant/nightclub",16
2020-12-26,"Recreational","Other recreation",22
2020-12-26,"Recreational","Personal service settings",2
2020-12-26,"Recreational","Recreational fitness",10
2020-12-26,"Workplace","Medical/Health Service",10
2020-12-26,"Workplace","Retail",40
2020-12-26,"Workplace","Farm",10
2020-12-26,"Workplace","Food Processing",28
2020-12-26,"Workplace","Workplace (Other)",162
2020-12-27,"Congregate Care","Hospitals",54
2020-12-27,"Congregate Care","Long-Term Care Homes",186
2020-12-27,"Congregate Care","Retirement Homes",98
2020-12-27,"Congregate Living","Congregate other",13
2020-12-27,"Congregate Living","Correctional Facility",8
2020-12-27,"Congregate Living","Group Home/Supportive Housing",57
2020-12-27,"Congregate Living","Shelter",9
2020-12-27,"Education","Child care",55
2020-12-27,"Education","Elementary School",98
2020-12-27,"Education","Elementary/Secondary School",5
2020-12-27,"Education","Post-Secondary School",5
2020-12-27,"Education","Secondary School",38
2020-12-27,"Other/Unknown","Other",15
2020-12-27,"Other/Unknown","Unknown",10
2020-12-27,"Recreational","Bar/restaurant/nightclub",17
2020-12-27,"Recreational","Other recreation",22
2020-12-27,"Recreational","Personal service settings",2
2020-12-27,"Recreational","Recreational fitness",10
2020-12-27,"Workplace","Medical/Health Service",10
2020-12-27,"Workplace","Retail",40
2020-12-27,"Workplace","Farm",10
2020-12-27,"Workplace","Food Processing",28
2020-12-27,"Workplace","Workplace (Other)",164
2020-12-28,"Congregate Care","Hospitals",54
2020-12-28,"Congregate Care","Long-Term Care Homes",195
2020-12-28,"Congregate Care","Retirement Homes",104
2020-12-28,"Congregate Living","Congregate other",12
2020-12-28,"Congregate Living","Correctional Facility",8
2020-12-28,"Congregate Living","Group Home/Supportive Housing",58
2020-12-28,"Congregate Living","Shelter",12
2020-12-28,"Education","Child care",54
2020-12-28,"Education","Elementary School",97
2020-12-28,"Education","Elementary/Secondary School",6
2020-12-28,"Education","Post-Secondary School",4
2020-12-28,"Education","Secondary School",39
2020-12-28,"Other/Unknown","Other",19
2020-12-28,"Other/Unknown","Unknown",12
2020-12-28,"Recreational","Bar/restaurant/nightclub",17
2020-12-28,"Recreational","Other recreation",22
2020-12-28,"Recreational","Personal service settings",2
2020-12-28,"Recreational","Recreational fitness",10
2020-12-28,"Workplace","Medical/Health Service",10
2020-12-28,"Workplace","Retail",39
2020-12-28,"Workplace","Farm",10
2020-12-28,"Workplace","Food Processing",28
2020-12-28,"Workplace","Workplace (Other)",163
2020-12-29,"Congregate Care","Hospitals",52
2020-12-29,"Congregate Care","Long-Term Care Homes",199
2020-12-29,"Congregate Care","Retirement Homes",106
2020-12-29,"Congregate Living","Congregate other",12
2020-12-29,"Congregate Living","Correctional Facility",8
2020-12-29,"Congregate Living","Group Home/Supportive Housing",62
2020-12-29,"Congregate Living","Shelter",13
2020-12-29,"Education","Child care",56
2020-12-29,"Education","Elementary School",94
2020-12-29,"Education","Elementary/Secondary School",6
2020-12-29,"Education","Post-Secondary School",4
2020-12-29,"Education","Secondary School",38
2020-12-29,"Other/Unknown","Other",24
2020-12-29,"Other/Unknown","Unknown",14
2020-12-29,"Recreational","Bar/restaurant/nightclub",19
2020-12-29,"Recreational","Other recreation",21
2020-12-29,"Recreational","Personal service settings",2
2020-12-29,"Recreational","Recreational fitness",10
2020-12-29,"Workplace","Medical/Health Service",10
2020-12-29,"Workplace","Retail",36
2020-12-29,"Workplace","Farm",10
2020-12-29,"Workplace","Food Processing",28
2020-12-29,"Workplace","Workplace (Other)",159
2020-12-30,"Congregate Care","Hospitals",52
2020-12-30,"Congregate Care","Long-Term Care Homes",200
2020-12-30,"Congregate Care","Retirement Homes",111
2020-12-30,"Congregate Living","Congregate other",11
2020-12-30,"Congregate Living","Correctional Facility",8
2020-12-30,"Congregate Living","Group Home/Supportive Housing",65
2020-12-30,"Congregate Living","Shelter",13
2020-12-30,"Education","Child care",56
2020-12-30,"Education","Elementary School",93
2020-12-30,"Education","Elementary/Secondary School",7
2020-12-30,"Education","Post-Secondary School",4
2020-12-30,"Education","Secondary School",38
2020-12-30,"Other/Unknown","Other",25
2020-12-30,"Other/Unknown","Unknown",13
2020-12-30,"Recreational","Bar/restaurant/nightclub",19
2020-12-30,"Recreational","Other recreation",21
2020-12-30,"Recreational","Personal service settings",2
2020-12-30,"Recreational","Recreational fitness",9
2020-12-30,"Workplace","Medical/Health Service",11
2020-12-30,"Workplace","Retail",33
2020-12-30,"Workplace","Farm",10
2020-12-30,"Workplace","Food Processing",24
2020-12-30,"Workplace","Workplace (Other)",154
2020-12-31,"Congregate Care","Hospitals",53
2020-12-31,"Congregate Care","Long-Term Care Homes",204
2020-12-31,"Congregate Care","Retirement Homes",109
2020-12-31,"Congregate Living","Congregate other",12
2020-12-31,"Congregate Living","Correctional Facility",8
2020-12-31,"Congregate Living","Group Home/Supportive Housing",69
2020-12-31,"Congregate Living","Shelter",13
2020-12-31,"Education","Child care",59
2020-12-31,"Education","Elementary School",85
2020-12-31,"Education","Elementary/Secondary School",7
2020-12-31,"Education","Post-Secondary School",3
2020-12-31,"Education","Secondary School",32
2020-12-31,"Other/Unknown","Other",32
2020-12-31,"Other/Unknown","Unknown",13
2020-12-31,"Recreational","Bar/restaurant/nightclub",20
2020-12-31,"Recreational","Other recreation",20
2020-12-31,"Recreational","Personal service settings",2
2020-12-31,"Recreational","Recreational fitness",10
2020-12-31,"Workplace","Medical/Health Service",11
2020-12-31,"Workplace","Retail",34
2020-12-31,"Workplace","Farm",10
2020-12-31,"Workplace","Food Processing",23
2020-12-31,"Workplace","Workplace (Other)",150
2021-01-01,"Congregate Care","Hospitals",52
2021-01-01,"Congregate Care","Long-Term Care Homes",212
2021-01-01,"Congregate Care","Retirement Homes",117
2021-01-01,"Congregate Living","Congregate other",12
2021-01-01,"Congregate Living","Correctional Facility",8
2021-01-01,"Congregate Living","Group Home/Supportive Housing",73
2021-01-01,"Congregate Living","Shelter",13
2021-01-01,"Education","Child care",61
2021-01-01,"Education","Elementary School",81
2021-01-01,"Education","Elementary/Secondary School",7
2021-01-01,"Education","Post-Secondary School",2
2021-01-01,"Education","Secondary School",30
2021-01-01,"Other/Unknown","Other",13
2021-01-01,"Other/Unknown","Unknown",2
2021-01-01,"Recreational","Bar/restaurant/nightclub",20
2021-01-01,"Recreational","Other recreation",20
2021-01-01,"Recreational","Personal service settings",2
2021-01-01,"Recreational","Recreational fitness",12
2021-01-01,"Workplace","Medical/Health Service",12
2021-01-01,"Workplace","Retail",42
2021-01-01,"Workplace","Farm",13
2021-01-01,"Workplace","Food Processing",29
2021-01-01,"Workplace","Workplace (Other)",158
2021-01-02,"Congregate Care","Hospitals",55
2021-01-02,"Congregate Care","Long-Term Care Homes",216
2021-01-02,"Congregate Care","Retirement Homes",120
2021-01-02,"Congregate Living","Congregate other",12
2021-01-02,"Congregate Living","Correctional Facility",6
2021-01-02,"Congregate Living","Group Home/Supportive Housing",75
2021-01-02,"Congregate Living","Shelter",13
2021-01-02,"Education","Child care",63
2021-01-02,"Education","Elementary School",83
2021-01-02,"Education","Elementary/Secondary School",7
2021-01-02,"Education","Post-Secondary School",2
2021-01-02,"Education","Secondary School",30
2021-01-02,"Other/Unknown","Other",15
2021-01-02,"Other/Unknown","Unknown",3
2021-01-02,"Recreational","Bar/restaurant/nightclub",20
2021-01-02,"Recreational","Other recreation",20
2021-01-02,"Recreational","Personal service settings",2
2021-01-02,"Recreational","Recreational fitness",12
2021-01-02,"Workplace","Medical/Health Service",11
2021-01-02,"Workplace","Retail",39
2021-01-02,"Workplace","Farm",14
2021-01-02,"Workplace","Food Processing",29
2021-01-02,"Workplace","Workplace (Other)",159
2021-01-03,"Congregate Care","Hospitals",60
2021-01-03,"Congregate Care","Long-Term Care Homes",228
2021-01-03,"Congregate Care","Retirement Homes",129
2021-01-03,"Congregate Living","Congregate other",11
2021-01-03,"Congregate Living","Correctional Facility",6
2021-01-03,"Congregate Living","Group Home/Supportive Housing",72
2021-01-03,"Congregate Living","Shelter",14
2021-01-03,"Education","Child care",60
2021-01-03,"Education","Elementary School",78
2021-01-03,"Education","Elementary/Secondary School",6
2021-01-03,"Education","Post-Secondary School",2
2021-01-03,"Education","Secondary School",30
2021-01-03,"Other/Unknown","Other",15
2021-01-03,"Other/Unknown","Unknown",3
2021-01-03,"Recreational","Bar/restaurant/nightclub",22
2021-01-03,"Recreational","Other recreation",22
2021-01-03,"Recreational","Personal service settings",2
2021-01-03,"Recreational","Recreational fitness",12
2021-01-03,"Workplace","Medical/Health Service",11
2021-01-03,"Workplace","Retail",39
2021-01-03,"Workplace","Farm",13
2021-01-03,"Workplace","Food Processing",29
2021-01-03,"Workplace","Workplace (Other)",162
2021-01-04,"Congregate Care","Hospitals",62
2021-01-04,"Congregate Care","Long-Term Care Homes",233
2021-01-04,"Congregate Care","Retirement Homes",136
2021-01-04,"Congregate Living","Congregate other",11
2021-01-04,"Congregate Living","Correctional Facility",6
2021-01-04,"Congregate Living","Group Home/Supportive Housing",76
2021-01-04,"Congregate Living","Shelter",15
2021-01-04,"Education","Child care",58
2021-01-04,"Education","Elementary School",66
2021-01-04,"Education","Elementary/Secondary School",6
2021-01-04,"Education","Post-Secondary School",2
2021-01-04,"Education","Secondary School",25
2021-01-04,"Other/Unknown","Other",15
2021-01-04,"Other/Unknown","Unknown",6
2021-01-04,"Recreational","Bar/restaurant/nightclub",23
2021-01-04,"Recreational","Other recreation",22
2021-01-04,"Recreational","Personal service settings",2
2021-01-04,"Recreational","Recreational fitness",12
2021-01-04,"Workplace","Medical/Health Service",12
2021-01-04,"Workplace","Retail",40
2021-01-04,"Workplace","Farm",12
2021-01-04,"Workplace","Food Processing",28
2021-01-04,"Workplace","Workplace (Other)",161
2021-01-05,"Congregate Care","Hospitals",63
2021-01-05,"Congregate Care","Long-Term Care Homes",235
2021-01-05,"Congregate Care","Retirement Homes",138
2021-01-05,"Congregate Living","Congregate other",11
2021-01-05,"Congregate Living","Correctional Facility",6
2021-01-05,"Congregate Living","Group Home/Supportive Housing",73
2021-01-05,"Congregate Living","Shelter",11
2021-01-05,"Education","Child care",60
2021-01-05,"Education","Elementary School",57
2021-01-05,"Education","Elementary/Secondary School",5
2021-01-05,"Education","Post-Secondary School",2
2021-01-05,"Education","Secondary School",24
2021-01-05,"Other/Unknown","Other",16
2021-01-05,"Other/Unknown","Unknown",7
2021-01-05,"Recreational","Bar/restaurant/nightclub",24
2021-01-05,"Recreational","Other recreation",23
2021-01-05,"Recreational","Personal service settings",2
2021-01-05,"Recreational","Recreational fitness",12
2021-01-05,"Workplace","Medical/Health Service",10
2021-01-05,"Workplace","Retail",40
2021-01-05,"Workplace","Farm",12
2021-01-05,"Workplace","Food Processing",27
2021-01-05,"Workplace","Workplace (Other)",158
2021-01-06,"Congregate Care","Hospitals",65
2021-01-06,"Congregate Care","Long-Term Care Homes",229
2021-01-06,"Congregate Care","Retirement Homes",134
2021-01-06,"Congregate Living","Congregate other",8
2021-01-06,"Congregate Living","Correctional Facility",6
2021-01-06,"Congregate Living","Group Home/Supportive Housing",73
2021-01-06,"Congregate Living","Shelter",13
2021-01-06,"Education","Child care",61
2021-01-06,"Education","Elementary School",52
2021-01-06,"Education","Elementary/Secondary School",4
2021-01-06,"Education","Post-Secondary School",2
2021-01-06,"Education","Secondary School",23
2021-01-06,"Other/Unknown","Other",9
2021-01-06,"Other/Unknown","Unknown",6
2021-01-06,"Recreational","Bar/restaurant/nightclub",24
